"Environment and Climate Change Canada"
"Monthly Values for March - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"PORT MOODY GLENAYRE","49.279","-122.881","BC","6.4","0","-0.4","20.0","0","-1.0","0","3.0","0","50.0","197.0","0","106.0","0.0","15","","",NA,"360.6","0.0","1106CL2"
"RICHMOND NATURE PARK","49.171","-123.093","BC","6.9","0","-0.4","18.5","0","-2.5","0","0.0","0","0.0","130.0","0","116.0","0.0","12","","",NA,"343.6","0.0","1106PF7"
"SANDHEADS CS","49.106","-123.303","BC","7.1","0",NA,"11.8","0","2.2","0","",,NA,"",,NA,"","","",,NA,"338.3","0.0","1107010"
"SUMAS CANAL","49.113","-122.110","BC","8.8","25",NA,"16.5","20","1.0","19","0.0","20",NA,"15.6","20",NA,"","7","","",NA,"55.4","0.0","1107785"
"VANCOUVER SEA ISLAND CCG","49.183","-123.187","BC","6.2","3",NA,"13.3","3","-1.5","2","",,NA,"129.4","3",NA,"","11","",,NA,"331.4","0.0","1108380"
"VANCOUVER INTL A","49.195","-123.184","BC","6.0","0",NA,"13.3","0","-1.7","0","0.0","0",NA,"111.8","0",NA,"","11","",,NA,"370.5","0.0","1108395"
"VANCOUVER HARBOUR CS","49.295","-123.122","BC","7.1","0",NA,"15.5","0","0.5","0","",,NA,"142.5","0",NA,"","13","",,NA,"336.7","0.0","1108446"
"WEST VANCOUVER AUT","49.347","-123.193","BC","6.8","0",NA,"20.5","0","-0.1","0","",,NA,"",,NA,"","","",,NA,"347.7","0.0","1108824"
"WHISTLER ROUNDHOUSE","50.068","-122.947","BC","-3.9","0",NA,"6.0","0","-11.5","0","87.0","0",NA,"87.0","0",NA,"297.0","14","","",NA,"679.8","0.0","1108906"
"WHITE ROCK CAMPBELL SCIENTIFIC","49.018","-122.784","BC","7.2","1",NA,"21.7","1","-0.4","0","",,NA,"",,NA,"","","",,NA,"323.8","0.0","1108910"
"N VAN SEYMOUR HATCHERY","49.438","-122.967","BC","3.9","2","-1.6","14.0","2","-3.0","2","4.8","2",NA,"204.0","2",NA,"0.0","18","","",NA,"410.0","0.0","110N666"
"HOPE A","49.368","-121.498","BC","6.3","10",NA,"18.3","10","-1.3","10","",,NA,"109.4","10",NA,"","9","",,NA,"246.1","0.0","1113542"
"HOPE AIRPORT","49.370","-121.493","BC","6.0","0",NA,"18.0","0","-1.3","0","",,NA,"149.1","0",NA,"","15","",,NA,"373.2","0.0","1113543"
"HOPE SLIDE","49.267","-121.233","BC","1.2","0","-1.3","11.5","0","-10.0","0","73.0","0","182.0","115.8","0","118.0","28.0","17","","",NA,"521.4","0.0","1113581"
"LILLOOET","50.684","-121.934","BC","5.4","1",NA,"16.1","1","-5.8","0","",,NA,"",,NA,"","","",,NA,"377.2","0.0","1114619"
"LYTTON A","50.224","-121.582","BC","5.6","5",NA,"16.7","5","-5.4","5","",,NA,"8.1","5",NA,"","1","",,NA,"322.4","0.0","1114738"
"LYTTON RCS","50.224","-121.582","BC","5.5","0",NA,"17.9","0","-5.6","0","",,NA,"10.3","0",NA,"","2","",,NA,"388.5","0.0","1114746"
"JELLICOE","49.673","-120.333","BC","0.6","1",NA,"13.5","1","-17.0","1","36.0","1",NA,"55.6","1",NA,"32.0","13","","",NA,"520.8","0.0","1123721"
"KELOWNA","49.957","-119.378","BC","2.4","6",NA,"13.5","6","-8.1","6","",,NA,"15.4","6",NA,"","4","",,NA,"389.6","0.0","1123939"
"KELOWNA UBCO","49.941","-119.400","BC","3.4","0",NA,"15.3","0","-6.8","0","",,NA,"35.0","0",NA,"","6","",,NA,"451.5","0.0","1123996"
"MERRITT","50.113","-120.778","BC","2.0","0",NA,"14.2","0","-11.6","0","",,NA,"3.8","25",NA,"","2","",,NA,"494.6","0.0","1125073"
"MERRITT STP","50.114","-120.801","BC","2.6","0","-1.5","14.5","0","-11.0","0","12.0","0","275.0","25.2","0","155.0","0.0","3","","",NA,"478.1","0.0","1125079"
"OKANAGAN CENTRE","50.056","-119.445","BC","3.9","0","-0.9","17.0","0","-3.5","0","4.0","0","112.0","41.0","0","158.0","0.0","8","","",NA,"437.1","0.0","1125700"
"OLIVER STP","49.179","-119.545","BC","5.9","16","-0.3","16.0","16","-4.0","16","0.0","16",NA,"68.2","16",NA,"","6","","",NA,"181.0","0.0","1125766"
"OSOYOOS CS","49.028","-119.441","BC","5.1","0","-1.0","17.8","0","-6.3","0","",,NA,"58.7","0",NA,"","6","",,NA,"400.4","0.0","1125852"
"PEACHLAND","49.783","-119.717","BC","4.2","0","-1.2","16.5","0","-3.5","0","2.0","0","40.0","44.8","0","190.0","0.0","10","","",NA,"427.7","0.0","1126070"
"PENTICTON A","49.463","-119.602","BC","3.7","0",NA,"16.3","0","-6.2","0","4.0","0",NA,"70.4","0",NA,"","9","",,NA,"443.1","0.0","1126146"
"PRINCETON A","49.468","-120.513","BC","0.6","0","-2.2","10.5","0","-11.5","0","20.0","0","196.0","37.5","0","227.0","7.0","6","","",NA,"540.0","0.0","1126510"
"VERNON AUTO","50.223","-119.194","BC","2.8","0",NA,"15.3","0","-8.0","0","",,NA,"28.8","0",NA,"","6","",,NA,"471.6","0.0","1128582"
"VERNON NORTH","50.344","-119.271","BC","3.0","0","-1.2","14.5","0","-5.5","0","17.0","0","145.0","47.2","0","165.0","0.0","9","","",NA,"464.7","0.0","1128583"
"VERNON SILVER STAR LODGE","50.359","-119.056","BC","-3.0","0",NA,"8.0","0","-15.0","0","103.6","0",NA,"103.6","0",NA,"212.0","13","","",NA,"649.9","0.0","1128584"
"PRINCETON CS","49.465","-120.510","BC","0.3","0",NA,"10.3","0","-12.4","0","",,NA,"25.6","0",NA,"13.0","6","",,NA,"549.8","0.0","112FN0M"
"SUMMERLAND CS","49.563","-119.649","BC","3.6","0","-1.3","15.9","0","-5.5","0","",,NA,"62.8","0",NA,"","7","",,NA,"447.9","0.0","112G8L1"
"MIDWAY","49.004","-118.772","BC","3.0","4","-1.0","16.5","4","-10.0","4","24.2","4",NA,"54.0","4",NA,"0.0","10","","",NA,"404.0","0.0","1135126"
"BILLINGS","49.017","-118.228","BC","3.7","0","-0.6","15.5","0","-6.0","0","23.0","0","264.0","70.3","0","182.0","0.0","10","","",NA,"443.6","0.0","1140876"
"CASTLEGAR A","49.296","-117.633","BC","3.7","0","-0.6","15.5","0","-7.5","0","26.8","0","204.0","62.0","0","99.0","0.0","11","","",NA,"442.8","0.0","1141455"
"CASTLEGAR BCHPA DAM","49.343","-117.774","BC","3.7","6","-0.8","14.5","4","-3.0","4","2.0","4",NA,"50.5","4",NA,"0.0","9","","",NA,"356.4","0.0","1141457"
"DUNCAN LAKE DAM","50.239","-116.972","BC","2.6","0","-0.1","12.5","0","-8.0","0","6.0","0","58.0","42.0","0","76.0","5.0","13","","",NA,"476.5","0.0","1142574"
"KASLO","49.913","-116.921","BC","3.2","0","-0.2","14.0","0","-5.0","0","12.2","0","100.0","68.2","0","94.0","0.0","14","","",NA,"460.1","0.0","1143900"
"NAKUSP CS","50.269","-117.817","BC","3.0","0",NA,"13.5","0","-7.1","0","",,NA,"50.7","0",NA,"25.0","8","",,NA,"464.8","0.0","1145297"
"NELSON NE","49.586","-117.206","BC","4.0","2",NA,"13.5","2","-4.5","2","16.4","2",NA,"69.4","2",NA,"0.0","13","","",NA,"406.7","0.0","1145442"
"NEW DENVER","49.996","-117.370","BC","3.4","0","-0.2","14.0","0","-5.5","0","7.8","0","99.0","52.0","0","83.0","0.0","10","","",NA,"453.0","0.0","1145460"
"NELSON CS","49.491","-117.305","BC","4.4","0",NA,"14.3","0","-4.6","0","",,NA,"52.2","0",NA,"","8","",,NA,"421.7","0.0","1145M29"
"WARFIELD RCS","49.112","-117.739","BC","3.7","0",NA,"15.5","0","-6.3","0","",,NA,"74.2","0",NA,"","8","",,NA,"444.4","0.0","1148705"
"CRESTON CAMPBELL SCIENTIFIC","49.082","-116.501","BC","4.1","0",NA,"14.9","0","-3.4","0","",,NA,"67.8","0",NA,"","10","",,NA,"430.2","0.0","114B1F0"
"NELSON RIXEN CREEK","49.512","-117.399","BC","2.8","0",NA,"12.5","0","-6.5","0","36.4","0",NA,"65.7","0",NA,"22.0","13","","",NA,"471.3","0.0","114EMDM"
"CRANBROOK A","49.612","-115.782","BC","0.6","2",NA,"11.1","1","-9.7","1","19.8","1",NA,"26.4","1",NA,"","5","",,NA,"504.1","0.0","1152105"
"CRANBROOK AIRPORT AUTO","49.618","-115.789","BC","0.8","0",NA,"10.2","0","-8.2","0","",,NA,"31.9","0",NA,"5.0","5","",,NA,"534.6","0.0","1152106"
"FERNIE","49.489","-115.073","BC","0.0","3","-0.8","13.0","3","-18.0","3","35.0","3",NA,"76.8","3",NA,"59.0","14","","",NA,"505.3","0.0","1152850"
"FT STEELE DANDY CRK","49.524","-115.461","BC","2.5","24",NA,"10.5","19","-9.0","19","10.0","19",NA,"10.0","19",NA,"","1","","",NA,"108.7","0.0","1153034"
"KIMBERLEY PCC","49.632","-115.962","BC","1.1","13","-0.1","10.5","13","-10.5","13","23.4","13",NA,"38.9","13",NA,"","5","","",NA,"304.0","0.0","1154203"
"KOOTENAY NP WEST GATE","50.631","-116.061","BC","-0.2","9","-1.9","13.0","9","-14.0","9","10.4","9",NA,"25.4","9",NA,"0.0","5","","",NA,"400.2","0.0","1154410"
"SPARWOOD","49.745","-114.883","BC","-1.1","1","-1.3","10.0","1","-15.0","1","48.4","1",NA,"41.2","1",NA,"5.0","12","","",NA,"573.5","0.0","1157630"
"SPARWOOD CS","49.745","-114.884","BC","-1.3","1",NA,"8.7","1","-14.7","0","",,NA,"",,NA,"35.0","","",,NA,"578.2","0.0","1157631"
"ASHCROFT","50.708","-121.281","BC","4.4","0",NA,"19.4","0","-7.6","0","",,NA,"10.0","0",NA,"","3","",,NA,"422.5","0.0","1160515"
"BLUE RIVER A","52.129","-119.290","BC","-0.3","0","-0.7","11.5","0","-15.0","0","32.8","0","86.0","40.2","0","62.0","63.0","11","","",NA,"566.0","0.0","1160899"
"BLUE RIVER CS","52.129","-119.290","BC","-0.7","0",NA,"12.1","0","-16.9","0","",,NA,"42.0","0",NA,"71.0","7","",,NA,"579.6","0.0","1160H99"
"CLEARWATER AUTO","51.653","-120.082","BC","1.5","0",NA,"14.4","0","-16.3","0","",,NA,"",,NA,"1.0","","",,NA,"511.7","0.0","1161650"
"CLINTON A","51.266","-121.685","BC","-2.9","3",NA,"9.3","3","-23.2","3","",,NA,"6.0","3",NA,"","3","",,NA,"584.2","0.0","1161662"
"CLINTON RCS","51.144","-121.505","BC","-1.2","0",NA,"10.4","0","-16.6","0","",,NA,"13.7","0",NA,"18.0","4","",,NA,"595.1","0.0","1161663"
"CRISS CREEK","51.030","-120.728","BC","-2.4","0","-1.0","12.5","0","-19.5","0","21.0","0","90.0","35.8","0","134.0","30.0","8","","",NA,"632.9","0.0","1162177"
"DARFIELD","51.292","-120.183","BC","4.2","19","0.7","14.0","16","-4.0","17","0.0","16",NA,"22.4","16",NA,"","3","","",NA,"165.8","0.0","1162265"
"KAMLOOPS A","50.703","-120.449","BC","3.8","1",NA,"17.4","0","-7.4","1","1.0","0",NA,"19.6","0",NA,"","4","",,NA,"425.7","0.0","1163781"
"KAMLOOPS AUT","50.702","-120.442","BC","3.9","0",NA,"16.9","0","-7.3","0","",,NA,"11.5","0",NA,"","2","",,NA,"436.8","0.0","1163842"
"100 MILE HOUSE 6NE","51.681","-121.217","BC","-2.6","0",NA,"12.0","0","-26.0","0","15.0","0",NA,"59.2","0",NA,"28.0","11","","",NA,"637.5","0.0","1165793"
"RED LAKE","50.935","-120.800","BC","-1.0","0","-0.9","11.5","0","-15.0","0","18.0","0","66.0","29.6","0","94.0","16.0","9","","",NA,"589.8","0.0","1166658"
"SILVER CREEK","50.545","-119.350","BC","1.7","0","-1.4","12.0","0","-9.0","0","17.8","0","147.0","53.0","0","157.0","0.0","11","","",NA,"504.1","0.0","1167337"
"SUN PEAKS MOUNTAIN","50.903","-119.911","BC","-5.5","0",NA,"4.5","0","-18.5","0","79.0","0",NA,"79.0","0",NA,"200.0","17","","",NA,"727.4","0.0","1168204"
"VAVENBY","51.576","-119.778","BC","0.4","2","-2.3","14.0","1","-12.0","1","9.6","1",NA,"17.2","1",NA,"0.0","7","","",NA,"510.8","0.0","1168520"
"KAMLOOPS PRATT ROAD","50.630","-120.172","BC","1.5","6",NA,"13.0","6","-10.0","6","6.4","6",NA,"14.6","6",NA,"0.0","5","","",NA,"411.8","0.0","116C8P0"
"SALMON ARM CS","50.703","-119.291","BC","1.9","0","-2.3","13.4","0","-9.4","0","",,NA,"35.7","1",NA,"","6","",,NA,"499.2","0.0","116FRMN"
"SUN PEAKS LOWER","50.887","-119.883","BC","-2.8","0",NA,"11.0","0","-14.0","0","66.0","0",NA,"67.0","0",NA,"78.0","14","","",NA,"643.5","0.0","116Q20D"
"SUN PEAKS UPPER","50.902","-119.918","BC","-6.8","0",NA,"2.5","0","-17.0","0","93.0","0",NA,"93.0","0",NA,"239.0","18","","",NA,"768.7","0.0","116QK0M"
"GOLDEN A","51.299","-116.982","BC","-0.2","0","-1.0","10.0","0","-14.0","0","15.0","0","124.0","20.4","0","84.0","17.0","7","","",NA,"563.9","0.0","1173210"
"GOLDEN AIRPORT","51.300","-116.984","BC","-0.3","0",NA,"9.9","0","-13.5","0","",,NA,"19.4","0",NA,"18.0","7","",,NA,"566.3","0.0","1173220"
"GOLDSTREAM RIVER","51.630","-118.425","BC","-2.1","0","-2.6","12.0","0","-13.0","0","59.0","0","149.0","65.0","0","90.0","84.0","14","","",NA,"622.5","0.0","1173242"
"MICA DAM","52.053","-118.585","BC","-0.5","6","-0.9","8.0","3","-11.5","3","37.4","3",NA,"69.1","3",NA,"132.0","10","","",NA,"462.0","0.0","1175122"
"REVELSTOKE A","50.967","-118.183","BC","0.8","8",NA,"9.1","8","-11.2","8","",,NA,"26.8","8",NA,"","6","",,NA,"396.5","0.0","1176745"
"REVELSTOKE AIRPORT AUTO","50.958","-118.176","BC","1.2","0",NA,"11.8","0","-11.3","0","",,NA,"44.7","0",NA,"42.0","9","",,NA,"520.5","0.0","1176755"
"YOHO PARK","51.443","-116.345","BC","-4.5","1",NA,"8.5","1","-18.7","0","",,NA,"85.6","2",NA,"158.0","11","",,NA,"674.2","0.0","11790J1"
"YOHO NP OHARA LAKE","51.356","-116.337","BC","-6.5","7",NA,"6.5","7","-19.0","7","70.0","7",NA,"70.0","7",NA,"","9","","",NA,"587.7","0.0","117R00H"
"CHETWYND A","55.687","-121.627","BC","-5.5","0","-2.6","10.0","0","-29.0","0","78.8","0","276.0","37.8","0","173.0","30.0","10","","",NA,"728.3","0.0","1181508"
"DAWSON CREEK A","55.742","-120.183","BC","-6.6","10",NA,"7.4","10","-23.3","10","",,NA,"0.0","26",NA,"","0","",,NA,"516.4","0.0","1182289"
"FORT ST. JOHN A","56.238","-120.740","BC","-7.2","1",NA,"7.8","1","-22.5","0","93.3","1",NA,"93.3","1",NA,"50.0","12","",,NA,"755.4","0.0","1183001"
"MACKENZIE","55.299","-123.133","BC","-4.0","4",NA,"10.1","4","-23.7","3","",,NA,"4.9","4",NA,"","2","",,NA,"594.1","0.0","1184791"
"MACKENZIE AIRPORT AUTO","55.305","-123.138","BC","-4.0","0",NA,"10.7","0","-22.5","0","",,NA,"12.7","0",NA,"57.0","3","",,NA,"683.2","0.0","1184793"
"DEASE LAKE A","58.422","-130.031","BC","-7.8","5",NA,"11.3","5","-30.3","5","",,NA,"4.8","5",NA,"","2","",,NA,"669.5","0.0","1192341"
"FORT NELSON A","58.836","-122.597","BC","-8.1","0",NA,"11.6","0","-27.9","0","43.5","0",NA,"31.9","0",NA,"61.0","7","",,NA,"810.1","0.0","1192946"
"FORT NELSON","58.841","-122.574","BC","-7.6","0",NA,"12.5","0","-26.7","0","",,NA,"32.9","0",NA,"52.0","6","",,NA,"792.2","0.0","1192948"
"DEASE LAKE (AUT)","58.426","-130.025","BC","-6.4","0",NA,"11.2","0","-30.1","0","",,NA,"15.8","0",NA,"38.0","4","",,NA,"756.5","0.0","119BLM0"
"ATLIN","59.567","-133.700","BC","-5.1","2","0.4","11.0","2","-26.5","2","10.0","2",NA,"10.0","2",NA,"5.0","2","","",NA,"668.8","0.0","1200560"
"PLEASANT CAMP","59.450","-136.367","BC","-2.3","0","0.0","10.0","0","-18.0","0","73.6","0","89.0","86.6","0","82.0","0.0","10","","",NA,"629.2","0.0","1206197"
